Τελευταία Ενημέρωση;Τρίτη, 22 Ιουλίου 2014 16:05;;;;;;
Κωδικός;Περιγραφή;Τιμή;Last Import;Barcode;Κατηγορία;Συν. Διαθέσιμο Απόθεμα;Συνολικό Απόθεμα
1000001;ΛΑΜΠΑΔΑ 1000001 ΔΙΧΡΩΜΗ ΠΑΣΧΑΛΙΝΗ promo;0,48;01/04/2014;5205103043267;ΕΙΔΗ ΔΩΡΩΝ ΓΙΑ H/C;0;0
1000002;ΛΑΜΠΑΔΑ 1000002 ΔΙΧΡΩΜΗ ΣΕ ΚΟΥΤΙ ΧΑΡΤΙΝΟ;0,73;01/04/2014;5205103043243;ΕΙΔΗ ΔΩΡΩΝ ΓΙΑ H/C;0;0
1000500;DRESS 1000500 BLU NAVY S ALL OVER POS W.;12,99;24/06/2014;5205103043823;ΡΟΥΧΑ ALCOTT;0;0
1000501;DRESS 1000501 BLU NAVY M ALL OVER POS W.;12,99;24/06/2014;5205103043830;ΡΟΥΧΑ ALCOTT;0;0
1000502;DRESS 1000502 BLU NAVY L ALL OVER POS W.;12,99;24/06/2014;5205103043847;ΡΟΥΧΑ ALCOTT;0;0
1000503;DRESS 1000503 WHITE S PRINTED COTTON 100;19,99;24/06/2014;5205103043854;ΡΟΥΧΑ ALCOTT;0;0
1000504;DRESS 1000504 WHITE M PRINTED COTTON 100;19,99;24/06/2014;5205103043861;ΡΟΥΧΑ ALCOTT;0;0
1000505;DRESS 1000505 WHITE L PRINTED COTTON 100;19,99;24/06/2014;5205103043878;ΡΟΥΧΑ ALCOTT;0;0
1000506;STRAPLESS 1000506 S PINK PRINTED STRIPES;7,99;24/06/2014;5205103045254;ΡΟΥΧΑ ALCOTT;0;0
1000507;STRAPLESS 1000507 Μ PINK PRINTED STRIPES;7,99;24/06/2014;5205103043908;ΡΟΥΧΑ ALCOTT;0;0
1000508;STRAPLESS 1000508 L PINK PRINTED STRIPES;7,99;24/06/2014;5205103045278;ΡΟΥΧΑ ALCOTT;0;0
1000509;BLOUSE 1000509 S  CORAL 2POCKETS VISCOSE;12,99;24/06/2014;5205103043922;ΡΟΥΧΑ ALCOTT;0;0
1000510;BLOUSE 1000510 M  CORAL 2POCKETS VISCOSE;12,99;24/06/2014;5205103043939;ΡΟΥΧΑ ALCOTT;0;0
1000511;BLOUSE 1000511 L  CORAL 2POCKETS VISCOSE;12,99;24/06/2014;5205103043946;ΡΟΥΧΑ ALCOTT;0;0
1000512;BLOUSE 1000512 XL CORAL 2POCKETS VISCOSE;12,99;24/06/2014;5205103043953;ΡΟΥΧΑ ALCOTT;0;0
1000513;SHIRT 1000513 S BLUE VICHY2POCKET COTTON;12,99;24/06/2014;5205103043960;ΡΟΥΧΑ ALCOTT;0;0
1000514;SHIRT 1000514 M BLUE VICHY2POCKET COTTON;12,99;24/06/2014;5205103043977;ΡΟΥΧΑ ALCOTT;0;0
1000515;SHIRT 1000515 L BLUE VICHY2POCKET COTTON;12,99;24/06/2014;5205103045285;ΡΟΥΧΑ ALCOTT;0;0
1000516;SHIRT 1000516 S BLACK CHIFON ON BACK POL;15,99;24/06/2014;5205103043991;ΡΟΥΧΑ ALCOTT;0;0
1000517;SHIRT 1000517 M BLACK CHIFON ON BACK POL;15,99;24/06/2014;5205103044004;ΡΟΥΧΑ ALCOTT;0;0
1000518;SHIRT 1000518 L BLACK CHIFON ON BACK POL;15,99;24/06/2014;5205103045308;ΡΟΥΧΑ ALCOTT;0;0
1000519;SHIRT 1000519 S BLU BANDANA CORAL DENIM;19,99;24/06/2014;5205103045315;ΡΟΥΧΑ ALCOTT;0;0
1000520;SHIRT 1000520 M BLU BANDANA CORAL DENIM;19,99;24/06/2014;5205103044035;ΡΟΥΧΑ ALCOTT;0;0
1000521;SHIRT 1000521 L BLU BANDANA CORAL DENIM;19,99;24/06/2014;5205103044042;ΡΟΥΧΑ ALCOTT;0;0
1000522;SHIRT 1000522 S BLU NAVY ALL OVER PRINTE;19,99;24/06/2014;5205103044059;ΡΟΥΧΑ ALCOTT;0;0
1000523;SHIRT 1000523 M BLU NAVY ALL OVER PRINTE;19,99;24/06/2014;5205103044066;ΡΟΥΧΑ ALCOTT;0;0
1000524;SHIRT 1000524 L BLU NAVY ALL OVER PRINTE;19,99;24/06/2014;5205103044073;ΡΟΥΧΑ ALCOTT;0;0
1000525;SHIRT 1000525 S BLACK DOUBLE POCKETS&SHO;12,99;24/06/2014;5205103044080;ΡΟΥΧΑ ALCOTT;0;0
1000526;SHIRT 1000526 M BLACK DOUBLE POCKETS&SHO;12,99;24/06/2014;5205103044097;ΡΟΥΧΑ ALCOTT;0;0
1000527;SHIRT 1000527 L BLACK DOUBLE POCKETS&SHO;12,99;24/06/2014;5205103044271;ΡΟΥΧΑ ALCOTT;0;0
1000528;SHIRT 1000528 XL BLACK DOUBLE POCKETS&SH;12,99;24/06/2014;5205103044288;ΡΟΥΧΑ ALCOTT;0;0
1000529;SHIRT 1000529 S FUCHSIA 2CHESTPOCKET Z P;12,99;24/06/2014;5205103044295;ΡΟΥΧΑ ALCOTT;0;0
1000530;SHIRT 1000530 M FUCHSIA 2CHESTPOCKET Z P;12,99;24/06/2014;5205103044301;ΡΟΥΧΑ ALCOTT;0;0
1000531;SHIRT 1000531 L FUCHSIA 2CHESTPOCKET Z P;12,99;24/06/2014;5205103044318;ΡΟΥΧΑ ALCOTT;0;0
1000532;SHIRT 1000532 XL FUCHSIA 2CHEST POCKET Z;12,99;24/06/2014;5205103044325;ΡΟΥΧΑ ALCOTT;0;0
1000533;TANK 1000533 TOP S LIGHT GREY COTTON 100;4,99;24/06/2014;5205103044363;ΡΟΥΧΑ ALCOTT;0;0
